Pill_Name,Generic_Name,Uses,Side_Effects,Manufacturer,Dosage (mg),Prescription_Required
"Acudex1-1","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","NovaHealth Labs","250","Yes"
"Biolon1-2","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","MediCore Therapeutics","500","Yes"
"Curazep1-3","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","Pillara Biotech","750","Yes"
"Duramox1-4","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","ClearPath Pharmaceuticals","100","Yes"
"Evocillin1-5","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","EverWell Labs","250","Yes"
"Flexstat1-6","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","Suncrest Pharma","500","Yes"
"Genopril1-7","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","GreenLeaf Bio","150","Yes"
"Hemapine1-8","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","PrimeCure Inc","500","Yes"
"Irosone1-9","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","Horizon Health","250","Yes"
"Junotab1-10","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","VitalAxis Labs","800","Yes"
"Karozol1-11","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","Orion Medica","500","No"
"Lumafine1-12","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","Lumen Pharma","600","No"
"Medimide1-13","naproxen","Pain and inflammation","indigestion; headache; dizziness","CedarBridge Labs","220","No"
"Nexatril1-14","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","Silverline Pharmaceuticals","325","No"
"Orbivex1-15","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","BlueLake Pharma","50","No"
"Pilloril1-16","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","NovaHealth Labs","10","No"
"Quinnac1-17","loratadine","Seasonal allergies","headache; dry mouth; fatigue","MediCore Therapeutics","10","No"
"Rivomir1-18","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","Pillara Biotech","120","No"
"Sanonex1-19","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","ClearPath Pharmaceuticals","25","No"
"Terarova1-20","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","EverWell Labs","850","Yes"
"Urodex1-21","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","Suncrest Pharma","10","Yes"
"Vitalon1-22","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","GreenLeaf Bio","25","Yes"
